Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Backrest type (product.metafields.shopify.backrest-type),Color (product.metafields.shopify.color-pattern),Seat type (product.metafields.shopify.seat-type),Shape (product.metafields.shopify.shape),Upholstery material (product.metafields.shopify.upholstery-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
butler,Butler,"<p>Butler Side Table is an effortlessly stylish piece that features a remarkable gold-plated brass structure combined with a darker base for a stronger visual image. A simple yet beautiful design that, above all, provides exceptional charm and individuality to prestigious interiors. A contemporary piece that would look stupendous on the side of a cushy bed or an entry hall, even complementing a hotel’s lounging area.</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-030</strong></li>
<li><strong>MATERIAL: WOOD, BRASS</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Accent Tables,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/table_lh_34-1.jpg?v=1736947608,1,"",false,,,,,,,,,kg,,,true,,,active
butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh34-3.jpg?v=1736947608,2,"",,,,,,,,,,,,,,,,
mezcla-coffee-table,Mezcla Coffee Table,"<p>The Mezcla table concept is defined by its unique blend of exclusive materials, capturing the essence of bringing people and diverse design elements together. It represents a series of tables where materials, shapes, and colors seamlessly combine, creating a harmonious meeting point of style and functionality.</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-029</strong></li>
<li><strong>MATERIAL: WOOD, BRASS</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Accent Tables > Coffee Tables,Lounge Coffee Table,"Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-2.jpg?v=1736951290,1,"",false,,,,,,,,,kg,,,true,,,active
mezcla-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-4.jpg?v=1736951290,2,"",,,,,,,,,,,,,,,,
mezcla-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-1.jpg?v=1736951290,3,"",,,,,,,,,,,,,,,,
mezcla-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-3.jpg?v=1736951286,4,"",,,,,,,,,,,,,,,,
bloom,Bloom cabinet,"<p>This sleek bloom cabinet features a bold combination of glossy black and rich brown finishes, with fluted detailing on the front, blending modern elegance and functionality to complement sophisticated interiors. </p>
<ul>
<li><strong>SIZE: IN:<span> W 60"" x D 18"" x H 30""</span><span></span></strong></li>
<li><strong>PRODUCT CODE: FS-023</strong></li>
<li><strong>MATERIAL: WOOD</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Kitchen & Dining Room Tables > Console Tables,Beds room,"Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,295000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Storagecabinet-24-1.jpg?v=1736587545,1,"",false,,,,,,,,,kg,,,true,,,active
bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Storagecabinet-24-2.jpg?v=1736587545,2,"",,,,,,,,,,,,,,,,
bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Storagecabinet-24-3.jpg?v=1736587545,3,"",,,,,,,,,,,,,,,,
butler-side-table,Butler Side Table,"<p>Crafted to meet the highest of standards, the lustrous nature of this fashionable adornment is by its geometrical form. Butler Side Table is an effortlessly stylish piece that features a remarkable gold-plated brass structure combined with a wood pedestal base for a stronger visual image. </p>
<ul>
<li><strong>SIZE: IN: W 18"" x D 18"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-029</strong></li>
<li><strong>MATERIAL: WOOD, BRASS</strong></li>
</ul>
<p> </p>",Lusso Homey Store,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,kg,,,true,,,active
